Titel,Brand,Kategorie,SKU,Barcode (EAN/GTIN),Highlights,Description,Attributes,Price,BIN,Quantity
LIQUI MOLY Motoröl 10W-40 Mineralisch 4L für Motorrad 4-Takt Motoren MPN 3046,LIQUI MOLY,"Auto & Motorrad: Teile > Öl, Pflege- & Schmiermittel > Motoröl",SKU-4955195373,1004200304684,"Optimaler Schutz für luft- und wassergekühlte 4-Takt-Motoren | Zuverlässige Schmierung selbst unter extremsten Betriebsbedingungen | Hervorragende Geräuschdämpfung und effektiver Verschleißschutz | Kat-getestet und kompatibel mit Nasskupplungen | Erfüllt höchste Spezifikationen: API SN Plus und JASO MA2 | Qualitätsprodukt ""Made in Germany"" für maximale Zuverlässigkeit","Hochleistungs-Mineralöl 10W-40 von LIQUI MOLY, speziell für 4-Takt-Motorräder entwickelt. Bietet optimalen Schutz, zuverlässige Schmierung und hervorragende Motorsauberkeit unter allen Bedingungen. Kat-getestet und ideal für Nasskupplungen.","{""Anwendungsbereich"":""Motorrad 4-Takt"",""Füllmenge"":""4 L"",""Gebindeart"":""Kanister"",""Herstellernummer"":""3046"",""Herstellungsland"":""Deutschland"",""Marke"":""LIQUI MOLY"",""Öl-Typ"":""Mineralisch"",""Produktart"":""Motoröl"",""Spezifikationen"":""API SN Plus, JASO MA2"",""Viskosität"":""10W-40"",""weight"":1,""Zustand"":""NEU""}",37.33 EUR,XGA0106D,2
"Hochwertiges 15-tlg Gewindereparaturset M14x1,5 Werkzeugsatz für Reparaturen",Unbekannt,,SKU-3023625088,8719558505043,"Effiziente Reparatur beschädigter M14x1,5 Gewinde. | Umfassendes 15-teiliges Set für sofortigen Einsatz. | Hochwertige, langlebige Materialien für professionelle Nutzung. | Stellt die ursprüngliche Gewindefestigkeit zuverlässig wieder her. | Ideal für Kfz, Maschinenbau und allgemeine Reparaturen. | Einfache Anwendung dank präziser Werkzeuge.","Dieses 15-teilige Gewindereparaturset ist die ideale Lösung, um beschädigte oder verschlissene Gewinde schnell und effizient instand zu setzen. Es ermöglicht eine dauerhafte Reparatur, die die ursprüngliche Festigkeit und Funktionalität des Gewindes wiederherstellt.Das Set enthält alle notwendigen Werkzeuge und Einsätze für Gewinde der Größe M14x1,5, gefertigt aus robusten und langlebigen Materialien für eine hohe Beanspruchung. Die präzise Verarbeitung der Komponenten gewährleistet eine zuverlässige Anwendung und lange Lebensdauer.Im Lieferumfang ist ein umfassendes Sortiment an Gewindeeinsätzen, Bohrern und Montagewerkzeugen enthalten, um sofort mit der Reparatur beginnen zu können. Bei Fragen zur Anwendung oder Kompatibilität steht Ihnen unser Kundenservice gerne zur Verfügung.","{""Anwendungsbereich"":""Kfz, Maschinenbau, allgemeine Reparaturen"",""Anzahl Teile"":""15"",""category"":""Werkzeuge"",""Gewindegröße"":""M14x1,5"",""Material"":""Hochwertiger Werkzeugstahl"",""Produktart"":""Gewindereparaturset"",""weight"":1}",27.86 EUR,XGA0105B,1
ATE Bremsscheibe 24.0125-0184.1 für Audi - 314x25mm,ATE,Auto & Motorrad: Teile > Autoteile & Zubehör > Bremsen & Bremsenteile > Bremsscheiben,SKU-7591395419,4006633314036,"Garantierte ATE Originalqualität für kompromisslose Bremsleistung. | Präzise 314x25mm Passform für schnelle, einfache Montage. | Effiziente Wärmeableitung verhindert Bremsfading, steigert Sicherheit. | Äußerst langlebig für konstante, zuverlässige Fahrsicherheit. | Audi-spezifische Entwicklung für optimale Fahrzeugintegration und Performance. | Robuste Materialzusammensetzung für erhöhte Verschleißfestigkeit und Lebensdauer. | Konstante Bremskraft unter verschiedenen Fahrbedingungen gewährleistet.","Erleben Sie unvergleichliche Bremsperformance mit der ATE Bremsscheibe, präzise entwickelt für Ihr Audi-Fahrzeug. Die hochwertige Materialzusammensetzung garantiert überragende Wärmeableitung und verhindert effektiv Bremsfading, für maximale Sicherheit in jeder Fahrsituation.Die exakte Passform von 314x25mm ermöglicht eine schnelle und problemlose Installation, sodass Ihr Audi umgehend wieder mit voller Bremskraft unterwegs ist. Im Lieferumfang ist eine ATE Bremsscheibe enthalten, die für eine optimale Bremskraft Ihres Fahrzeugs sorgt.Wir empfehlen dringend die professionelle Montage durch geschultes Fachpersonal, um die volle Leistungsfähigkeit und Ihre Sicherheit zu garantieren. Vertrauen Sie auf bewährte ATE Originalqualität, die weltweit von Millionen Fahrern geschätzt wird und Ihnen Langlebigkeit verspricht.","{""Anzahl pro Verpackungseinheit"":""1 Stück"",""Artikelzustand"":""Neu"",""Belüftet"":""Ja"",""Dicke"":""25 mm"",""Durchmesser"":""314 mm"",""Fahrzeugmarke"":""Audi"",""GPSR Manufacturer name"":""ATE"",""GTIN"":""4006633314036"",""Hersteller"":""ATE"",""Herstellernummer"":""24.0125-0184.1"",""Kategorie"":""Auto & Motorrad: Teile"",""Lieferumfang"":""1x Bremsscheibe"",""Menge pro Packung"":""1 Stück"",""Oldtimer-Teil"":""Nein"",""Produktart"":""Bremsscheibe"",""Produktgruppe"":""Bremssystem"",""Universelle Kompatibilität"":""Nein"",""weight"":1,""Zustand"":""Neu""}",35.62 EUR,XGA0106C,2
IKEA KALLAX Standregal 77x77 cm – Vielseitige & stilvolle Ordnungslösung,IKEA,Möbel & Wohnen > Möbel > Regale & Aufbewahrung,SKU-7995751556,5905741720765,"Maximal flexibel: Als Regal, Raumteiler oder Sideboard nutzbar. | Robuste Holzwerkstoffe garantieren Stabilität und langfristige Freude. | Extrem pflegeleichte Oberfläche für dauerhaft makellose Optik. | Schnelle und unkomplizierte Selbstmontage dank intuitiver Anleitung. | Millionenfach bewährte IKEA Qualität für langanhaltende Zufriedenheit. | Zeitloses, weltweit geschätztes Design fügt sich perfekt ein. | Vielseitig einsetzbar in Wohnzimmer, Büro, Schlaf- oder Kinderzimmer.","Das IKEA KALLAX Standregal 77x77 cm bietet eine stilvolle und äußerst flexible Aufbewahrungslösung, die sich nahtlos in jedes moderne Zuhause einfügt. Es kann stehend oder liegend genutzt werden, um Bücher, Dekorationen oder als praktischer Raumteiler optimal zu präsentieren.Gefertigt aus robusten Holzwerkstoffen, garantiert dieses zeitlose Regal Beständigkeit und Funktionalität für viele Jahre. Alle notwendigen Teile für eine schnelle und unkomplizierte Selbstmontage sind im Lieferumfang enthalten, damit Sie Ihr neues Möbelstück im Handumdrehen nutzen können.Vertrauen Sie auf die millionenfach bewährte Qualität von IKEA und integrieren Sie ein Design-Highlight, das weltweit geschätzt wird. Erleben Sie maximale Flexibilität und verwandeln Sie Ihren Wohnraum mit diesem unverzichtbaren Organisationswunder, unterstützt durch den zuverlässigen IKEA Kundenservice.","{""Allgemeine Kategorie"":""Regale & Aufbewahrung"",""Anzahl der Einheiten"":""1"",""Anzahl der Fächer"":""4"",""Breite"":""77 cm"",""Farbe"":""Weiß"",""Gewicht"":""12 kg"",""GPSR Manufacturer name"":""IKEA"",""Herstellernummer"":""202.758.14"",""Herstellungsland"":""Polen"",""Höhe"":""77 cm"",""Kategorie"":""Möbel & Wohnen > Möbel > Regale & Aufbewahrung"",""Kategorie_Pfad"":""Möbel > Regale & Aufbewahrung > Standregale"",""Marke"":""IKEA"",""Material"":""Holzwerkstoff"",""Modell"":""KALLAX"",""Montage erforderlich"":""Ja"",""Produktart"":""Standregal"",""Zimmer"":""Wohnzimmer, Schlafzimmer, Büro, Kinderzimmer"",""Zustand"":""Neu""}",59.99 EUR,XGA0301C,1
FNTCASE Schutzhülle für Apple iPhone 16 Pro Grau Stoßfest MagSafe-kompatibel NEU,FNTCASE,,SKU-2064038107,4239255741,"MagSafe-kompatibel für schnelles, kabelloses Laden. | Einfache und schnelle Anbringung. | Gefertigt aus umweltfreundlichen Materialien. | Elegantes matt-transparentes Design in Grau. | Zuverlässiger Schutz vor Stößen und Kratzern.",Die FNTCASE Schutzhülle für das Apple iPhone 16 Pro in Grau bietet robusten Stoßschutz und ist MagSafe-kompatibel. Präzise Aussparungen und eine angenehme Haptik garantieren hohen Komfort und volle Funktionalität bei leichtem Design.,"{""Designland"":""USA"",""Eigenschaften"":""Stoßfest, Präzise Aussparungen, Einfache Installation, Angenehme Haptik"",""Farbe"":""Grau"",""Kabelloser Ladestandard"":""MagSafe"",""Kompatible Marke"":""Apple"",""Kompatibles Modell"":""iPhone 16 Pro"",""Marke"":""FNTCASE"",""Oberfläche"":""Matt, Transparent"",""Produktart"":""Schutzhülle"",""weight"":1,""Zustand"":""NEU""}",11.92 EUR,,0
BOOST TOWN Ladeluftrohr Ansaugrohr Kit 1507000192029 Hyundai Kona/i30N Rot Gebr.,BOOST TOWN,"Auto & Motorrad: Teile > Quad-, SSV- & UTV-Teile & -Zubehör > Ansaug- & Kraftstoffsysteme",SKU-6705970836,1507000192029,Spürbare Leistungssteigerung und optimiertes Ansprechverhalten. | Gefertigt aus robustem PPS GF40 (glasfaserverstärkter Kunststoff). | Auffälliges rotes Design wertet den Motorraum optisch auf. | Umfassendes Kit für schnelle und unkomplizierte Installation. | Effizienterer Luftstrom für optimierte Motorleistung und Dynamik. | Perfekte Passform für Hyundai i30N (275PS Vor-Facelift). | Inklusive ABE für legale Nutzung. | Ca. 50% Gewichtsreduktion gegenüber Serienbauteilen.,"Dieses gebrauchte BOOST TOWN Ladeluftrohr Ansaugrohr Kit für den Hyundai i30N (Vor-Facelift 275PS) optimiert den Luftstrom für spürbare Leistungssteigerung und ein verbessertes Ansprechverhalten. Gefertigt aus robustem, glasfaserverstärktem Kunststoff (PPS GF40) in auffälligem Rot, bietet es eine leichte und langlebige Lösung für mehr Motorleistung und Dynamik. Das umfassende Kit ermöglicht eine unkomplizierte Installation.","{""Artikelnummer"":""1507000192029"",""Artikelzustand"":""Gebraucht – Voll funktionsfähig"",""Einbauposition"":""Motorraum"",""Farbe"":""Rot"",""GPSR Manufacturer name"":""BOOST TOWN"",""Hersteller"":""BOOST TOWN"",""Herstellernummer"":""1507000192029"",""Kategorie"":""Auto & Motorrad: Teile > Quad-, SSV- & UTV-Teile & -Zubehör > Ansaug- & Kraftstoffsysteme"",""Lieferumfang"":""Ansaugsystem, Luftfilter, Befestigungsschellen"",""Marke"":""BOOST TOWN"",""Material"":""Kunststoff"",""Oberflächenbeschaffenheit"":""Glänzend"",""Oldtimer-Teil"":""Nein"",""Produktart"":""Ladeluftrohr Ansaugrohr Kit"",""Produktgruppe"":""Ansaug- & Kraftstoffsysteme"",""Rückgaberecht"":""14 Tage"",""Versand"":""Kostenloser DHL Versand"",""weight"":1,""Zustand"":""Gebraucht – Voll funktionsfähig""}",520 EUR,XGA0106D,1
CAPAS Schnorchelflossen Travel Fins Grün Gr. S/M für Erwachsene & Kinder,CAPAS,Sport > Tauchen > ABC & Blei > Schnorchelflossen,SKU-0533124796,91001518,"Kompaktes Design, ideal für Reisen und einfachen Transport. | Ergonomische Passform bietet maximalen Komfort und minimiert Ermüdung. | Effizienter Vortrieb ermöglicht müheloses Schwimmen und Schnorcheln. | Robuste Materialien garantieren Langlebigkeit in Salzwasserumgebungen. | Verstellbare Fersenriemen für individuelle und sichere Passform. | Vielseitig geeignet für Erwachsene, Kinder, Anfänger und Fortgeschrittene.",,"{""Besonderheit"":""Reisefreundlich, Kompaktes Design"",""Einsatzbereich"":""Wassersport, Schnorcheln, Schwimmen"",""Farbe"":""Grün"",""Größe"":""S/M"",""Marke"":""CAPAS"",""Material"":""Hochwertige Materialien"",""Produktart"":""Schnorchelflossen"",""Verschlussart"":""Verstellbarer Fersenriemen"",""weight"":1,""Zielgruppe"":""Erwachsene & Kinder"",""Zustand"":""gebraucht""}",29.99 EUR,XGA0105A,1
"ATE Bremsscheibe 24.0128-0248.1 für Hyundai Kia, 321mm Durchmesser, 28mm Dicke",ATE,Auto & Motorrad: Teile > Autoteile & Zubehör > Bremsen & Bremsenteile > Bremsscheiben,SKU-8902752253,14006633314036,"ATE Premium Bremsscheibe für Hyundai und Kia Modelle. | Herstellernummer 24.0128-0248.1 für präzise Fahrzeugkompatibilität. | Durchmesser 321 mm und Dicke 28 mm für optimale Bremsleistung. | Gefertigt aus hochwertigen Materialien für extreme Langlebigkeit. | Erfüllt E-Prüfzeichen 90R-02C0115/0572 für höchste Sicherheitsstandards. | Ermöglicht schnelle, unkomplizierte Montage und erhöhte Fahrsicherheit.","Die ATE Bremsscheibe 24.0128-0248.1 ist eine belüftete Bremsscheibe für die Vorderachse von Hyundai und Kia Modellen. Mit einem Durchmesser von 321 mm, einer Dicke von 28 mm und einem Gewicht von ca. 10.58 kg erfüllt sie das E-Prüfzeichen E1 90R-02C0115/0572 für hohe Sicherheitsstandards.","{""Achse"":""vorne"",""Bremsscheibenart"":""belüftet"",""Dicke"":""28 mm"",""Durchmesser"":""321 mm"",""E-Prüfzeichen"":""E1 90R-02C0115/0572"",""Herstellernummer"":""24.0128-0248.1"",""Herstellungsland"":""Deutschland"",""K-Typ"":""9135,Einbauposition Vorderachse|116960,Einbauposition Vorderachse|100972,Einbauposition Vorderachse|6647,Einbauposition Vorderachse|111969,Einbauposition Vorderachse|6649,Einbauposition Vorderachse|20104,Einbauposition Vorderachse|34960,Einbauposition Vorderachse|20105,Einbauposition Vorderachse|34961,Einbauposition Vorderachse|19840,Einbauposition Vorderachse|19841,Einbauposition Vorderachse|6648,Einbauposition Vorderachse|34963,Einbauposition Vorderachse|19838,Einbauposition Vorderachse|19839,Einbauposition Vorderachse|6646,Einbauposition Vorderachse|142809,Einbauposition Vorderachse|142812,Einbauposition Vorderachse|142811,Einbauposition Vorderachse|142810,Einbauposition Vorderachse|142813,Einbauposition Vorderachse|55795,Einbauposition Vorderachse|117229,Einbauposition Vorderachse|56797,Einbauposition Vorderachse|127211,Einbauposition Vorderachse|117226,Einbauposition Vorderachse|116947,Einbauposition Vorderachse|55794,Einbauposition Vorderachse|56796,Einbauposition Vorderachse|117585,Einbauposition Vorderachse|117223,Einbauposition Vorderachse|117225,Einbauposition Vorderachse|130766,Einbauposition Vorderachse|133117,Einbauposition Vorderachse|130767,Einbauposition Vorderachse|133195,Einbauposition Vorderachse|131897,Einbauposition Vorderachse|131898,Einbauposition Vorderachse|131903,Einbauposition Vorderachse|133116,Einbauposition Vorderachse|134377,Einbauposition Vorderachse|143732,Einbauposition Vorderachse|146965,Einbauposition Vorderachse|137857,Einbauposition Vorderachse|141519,Einbauposition Vorderachse|141520,Einbauposition Vorderachse|6300,Einbauposition Vorderachse|6302,Einbauposition Vorderachse|32047,Einbauposition Vorderachse|32048,Einbauposition Vorderachse|59770,Einbauposition Vorderachse|32045,Einbauposition Vorderachse|58651,Einbauposition Vorderachse|32046,Einbauposition Vorderachse|58652,Einbauposition Vorderachse|59025,Einbauposition Vorderachse|59026,Einbauposition Vorderachse|133945,Einbauposition Vorderachse|105602,Einbauposition Vorderachse|119149,Einbauposition Vorderachse|142837,Einbauposition Vorderachse|142838,Einbauposition Vorderachse|142834,Einbauposition Vorderachse|142836,Einbauposition Vorderachse|128687,Einbauposition Vorderachse|109945,Einbauposition Vorderachse|109947,Einbauposition Vorderachse|123810,Einbauposition Vorderachse|112960,Einbauposition Vorderachse|109949,Einbauposition Vorderachse|117664,Einbauposition Vorderachse|125588,Einbauposition Vorderachse|134406,Einbauposition Vorderachse"",""Marke"":""ATE"",""Mindestdicke"":""26 mm"",""Passend für Fahrzeugmarken"":""Hyundai, Kia"",""Produktart"":""Bremsscheibe"",""weight"":12,""Zustand"":""Neu""}",72.99 EUR,XGA0106C,1
"TRW Bremsscheibe DF4982 für Honda Accord - 282mm Durchmesser, 9mm Dicke",TRW,Sport > Radsport > Fahrradteile & -komponenten > Bremsscheiben,SKU-4873494474,3322937952748,Optimale Bremsleistung für höchste Fahrsicherheit und Kontrolle. | Erstklassige TRW Qualität: Langlebigkeit und Zuverlässigkeit garantiert. | Präzise Passform minimiert Vibrationen für ruhiges Fahrverhalten. | ECE R90-zertifiziert: Erfüllt strengste europäische Sicherheitsstandards. | Gefertigt aus hochwertigem Stahlverbund für maximale Hitzebeständigkeit. | Speziell entwickelt für Honda Accord Modelle für perfekte Kompatibilität.,"Die TRW DF4982 Bremsscheibe steigert die Fahrsicherheit Ihres Honda Accord durch zuverlässige und optimale Bremsleistung. Speziell für diverse Honda Accord Modelle entwickelt, erfüllt sie höchste Qualitätsstandards für eine sichere Fahrt.Gefertigt aus hochwertigem Stahlverbund, garantiert diese Bremsscheibe eine lange Lebensdauer und exzellente Hitzebeständigkeit unter allen Bedingungen. Ihre präzise Verarbeitung sichert eine perfekte Passform, minimiert Vibrationen und stellt die ursprüngliche Bremsfunktionalität vollständig wieder her.Im Lieferumfang ist eine TRW DF4982 Bremsscheibe enthalten, die der strengen ECE R90-Norm entspricht und für eine unkomplizierte Installation vorbereitet ist. Bitte beachten Sie, dass für eine komplette Achse üblicherweise zwei Bremsscheiben benötigt werden und prüfen Sie die Kompatibilität vor dem Kauf sorgfältig.","{""Angebotspaket"":null,""Beschreibung des Angebotpakets"":null,""EAN"":""3322937952748"",""Fahrzeugmarke"":""Honda"",""Farbe"":null,""Für Fahrradtyp"":null,""GPSR Manufacturer name"":""TRW"",""Herstellerland - und Region"":null,""Herstellernummer"":""DF4982"",""K-Typ"":""58318,Einbauposition Hinterachse|29480,Einbauposition Hinterachse|34928,Einbauposition Hinterachse|29482,Einbauposition Hinterachse|29483,Einbauposition Hinterachse"",""Kategorie"":""Sport > Radsport > Fahrradteile & -komponenten > Bremsscheiben"",""Marke"":""TRW"",""Material"":""Hochwertiger Stahlverbund"",""Modell"":""Accord"",""Modifikationsbeschreibung"":null,""Modifizierter Artikel"":null,""Montage"":null,""Produktart"":""Bremsscheibe"",""Produktgruppe"":""Bremsenteile"",""Prüfzeichen"":""ECE R90"",""Scheibengröße"":""282mm Durchmesser, 9mm Dicke"",""weight"":1}",27.96 EUR,XGA0106C,1
RDINSCOS Schichtdickenmessgerät TC-100 µm/mil für Eisen- & Nichteisen-Metalle,RDINSCOS,Heimwerker > Werkzeuge > Messwerkzeuge & Messgeräte,SKU-7736193220,075523001671,Hochpräzise Messungen auf Eisen- und Nichteisen-Metallen. | Intuitive Bedienung durch klares Digitaldisplay für sofortige Ergebnisse. | Extrem robustes Kunststoffgehäuse für den professionellen Dauereinsatz. | Misst Schichtdicken mittels magnetischer und Wirbelstrom-Prinzipien. | Anzeige der Messergebnisse in Mikrometer (µm) oder mil. | Sofort einsatzbereit durch mitgelieferte Batterien.,"Das RDINSCOS TC-100 Schichtdickenmessgerät ermöglicht hochpräzise und zerstörungsfreie Messungen von Lack- und Beschichtungsdicken auf Eisen- und Nichteisen-Metallen. Profitieren Sie von der intuitiven Bedienung und dem klaren Digitaldisplay, das sofortige und genaue Ergebnisse in Mikrometer oder Mil liefert.Dieses vielseitige Messgerät ist ideal für die Automobilindustrie, Lackierereien und industrielle Anwendungen, wo Zuverlässigkeit und Genauigkeit entscheidend sind. Das robuste Kunststoffgehäuse gewährleistet Langlebigkeit und professionellen Einsatz selbst unter anspruchsvollsten Bedingungen.Im Lieferumfang sind das Messgerät und die erforderlichen Batterien enthalten, sodass Sie sofort mit präzisen Messungen beginnen können. Vertrauen Sie auf bewährte Qualität und steigern Sie Ihre Effizienz mit diesem unverzichtbaren Werkzeug für optimale Ergebnisse.","{""Anwendungsbereich"":""Lackdickenmessung, Beschichtungsdickenmessung, Automobilindustrie"",""Display"":""Digital"",""Farbe"":""Schwarz"",""GPSR Manufacturer name"":""RDINSCOS"",""Kategorie"":""Heimwerker > Werkzeuge > Messwerkzeuge & Messgeräte"",""Marke"":""RDINSCOS"",""Maßeinheit"":""µm, mil"",""Material"":""Kunststoff"",""Messprinzip"":""Magnetisch, Wirbelstrom"",""Modell"":""TC-100"",""Produktart"":""Schichtdickenmessgerät"",""Stromversorgung"":""Batterie"",""weight"":1,""Zustand"":""Neu""}",28.19 EUR,XGA0304B,1
JMIYAV Gaming Mauspad FGD-02 JD-80 Rosa Mikrofaser Gr. 300 mm,JMIYAV,"Computer, Tablets & Netzwerk > Notebook- & Desktop-Zubehör > Mauspads & Handgelenkauflagen",SKU-6511282128,20220424000047,"Extra großes Gaming Mauspad (800x300mm) für maximale Bewegungsfreiheit. | Dynamische RGB-Hintergrundbeleuchtung mit einfacher Touch-Steuerung. | Präzise Mikrofaser-Oberfläche, kompatibel mit allen Maussensoren. | Stabile, rutschfeste Basis für sicheren Halt auf jeder Oberfläche. | Plug & Play-Funktionalität über ein 1,8 m geflochtenes USB-Kabel. | Optimiert für Gamer mit Fokus auf Ästhetik und Leistung. | Robuste Verarbeitung für langanhaltende Nutzung und Strapazierfähigkeit.",JMIYAV Gaming Mauspad FGD-02 JD-80 Rosa Mikrofaser Gr.,"{""Anschluss"":""USB"",""Beleuchtung"":""RGB"",""Breite"":""300 mm"",""ean"":""727977275230"",""Eigenschaft"":""Rutschfeste Unterseite"",""Farbe"":""Rosa"",""Funktion"":""Plug & Play"",""Herstellernummer"":""JD-80"",""Kabellänge"":""1,8 m"",""Kabeltyp"":""Geflochten"",""Kompatibilität"":""Alle Maussensoren"",""Länge"":""800 mm"",""Marke"":""JMIYAV"",""Material"":""Mikrofaser"",""Modell"":""FGD-02"",""Produktart"":""Gaming Mauspad"",""Steuerung"":""Touch"",""weight"":1,""Zustand"":""Neu""}",29.98 EUR,XGA0105B,1
